Товар;Обозначение;Модификация;Кол-во;На заказы;Поставщик
DIN-рейка монтажная с перфорацией MR 35х7,5; ;<>;330; ;Возврат с производства
DIN-рейка монтажная с перфорацией MR 35х7,5; ;<>;1320; ;СТРОЙЭНЕРГО ООО
Kорпус КМ- ПР-О-2С-104х27;6408330;<>;8; ;Каскад НПО
Автомат дифференциальный;АД-14 4Р 40А 30мА;<>;4; ;Толедо СК
Автомат дифференциальный;АВДТ-32 2P C25/30;<>;5; ;Толедо СК
Автоматический ввод резерва;МАВР-3-21М;<>;3; ;Меандр ТД
Адаптер для кнопок;LPX DIN;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
Адаптер для установки кнопки на DIN - рейку;А11708351;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
Аккумулятор 12В 18 А/ч; ;<>;3; ;ИП Малыгин А.Л.
Аккумулятор 12В 18 А/ч; ;<>;1; ;НЕКСТ ТД
Аккумулятор 12В 18 А/ч; ;17А/ч;5; ;ТИНКО ТД
Амперметр;РА194I-5Х1Т-00001-100/5-K-1-0.5;<>;4; ;КС-Трейдинг
Амперметр;PA194I-9K4T-00001-400А/5А-K-0,5;<>;1; ;КС-Трейдинг
Амперметр;PA194I-9K4T-00001-30А/5А-K-0,5;<>;2; ;КС-Трейдинг
Амперметр;PA194I-9K4T-00001-150А/5А-K-0,5;<>;1; ;КС-Трейдинг
Амперметр;PA194I-9K4T-00001-600/5-K-0,5;<>;5; ;КС-Трейдинг
Амперметр;PA194I-9K4T-00001-100А/5А-K-0,5;<>;5; ;КС-Трейдинг
Амперметр;Э42704 А 75/5 50 1,5 В;<>;26; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 30/5 50 1,5 В;<>;2; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 20/5 50 1,5 В;<>;4; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 40/5 50 1,5 В;<>;8; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 300/5 50 1,5 В;<>;70; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 250/5 50 1,5 В;<>;1; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 200/5 50 1,5 В;<>;60; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 150/5 50 1,5 В;<>;49; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 50/5 50 1,5 В;<>;10; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 400/5 50 1,5 В;<>;31; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 800/5 50 1,5 В;<>;19; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 750/5 50 1,5 В;<>;7; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 600/5 50 1,5 В;<>;41; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 100/5 50 1,5 В;<>;77; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42704 А 150/1 50 1,5 В;<>;5; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;PA194I-2К4Т-00001-ХХХА/5А-К-0,5;PA194I-2К4Т-00001- 600А/5А-К-0,5;2; ;Мир Энерго
Амперметр;PA194I-2К4Т-00001-ХХХА/5А-К-0,5;PA194I-2К4Т-00001- 800А/5А-К-0,5;1; ;КС-Трейдинг
Амперметр;Э42703 А ХХ/5 50 1,5 В;Э42703 А 200-400/5 50 1,5 В;7; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42703 А ХХ/5 50 1,5 В;Э42703 А 300-600/5 50 1,5 В;16; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр;Э42703 А ХХ/5 50 1,5 В;Э42703 А 400-800/5 50 1,5 В;4; ;ЭЛЕКТРОПРИБОР ОАО
Амперметр цифровой однофазный;AD-961;<>;8; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
Амперметр цифровой трехфазный;AD-963;<>;7; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
Анализатор качества мощности 265V;UMG 96S2-52.34.002;<>;2; ;МИГ ЭЛЕКТРО ООО
Антенна;GSM IRZ AG11;<>;1; ;РАДИОФИД СИСТЕМЫ ООО
Антенна Глонасс с кабелем;GPS-P.20;<>;1; ;ТД УЭТ
"Аптечка автомобильная ""ФЭСТ"""; ;<>;5; ;Толедо СК
"Аптечка автомобильная ""ФЭСТ"""; ;<>;1; ;ЭЛЛЕВИН ООО
Багор с деревянной рукояткой; ;<>;6; ;ПТ-АЛЬЯНС
Балка;ТШОЗ.745521.012;<>;3; ;Крабер ООО
Балка;НГКШ.301341.1714;<>;3; ;Крабер ООО
Балка;НГКШ.745418.656;<>;2; ;Крабер ООО
Балка;ТШОЗ.745522.004;<>;3; ;Крабер ООО
Балка;ТШАГ.745512.045;<>;80; ;Крабер ООО
Балка;НГКШ.745418.024;<>;10; ;Крабер ООО
Балка;НГКШ.745418.537-01;<>;10; ;Крабер ООО
Балка;НГКШ.745418.023;<>;10; ;Крабер ООО
Балка;НГКШ.745418.777;<>;1; ;Крабер ООО
Балка;ТШОЗ.745521.012-01;<>;3; ;Крабер ООО
Балка;НГКШ.301341.1715;<>;3; ;Крабер ООО
Балка;НГКШ.745512.2217;<>;4; ;Крабер ООО
Балка;НГКШ.745418.537-03;<>;8; ;Крабер ООО
Балка;ТШАГ.741134.004;<>;42; ;Крабер ООО
Балка;ИТЕА.741134.503;<>;35; ;Крабер ООО
Балка;ТШАГ.741134.003;<>;42; ;Крабер ООО
Балка;ИТЕА.741134.502;<>;35; ;Крабер ООО
Балка;ИТЕА.741134.514;<>;6; ;МЕТАЛЛООБРАБОТКА ИК
Балка;ТШОЗ.745521.012;<>;9; ;МЕТАЛЛООБРАБОТКА ИК
Балка;ТШОЗ.745521.012-01;<>;3; ;МЕТАЛЛООБРАБОТКА ИК
Балка;ТШОЗ.745522.004;<>;6; ;МЕТАЛЛООБРАБОТКА ИК
Балка;ТШАГ.745512.013-Л;<>;314; ;ХРОМОС Инжиниринг
Балка;ТШАГ.745512.039-Л;<>;36; ;ХРОМОС Инжиниринг
Балка;ТШАГ.745512.034-Л;<>;9; ;ХРОМОС Инжиниринг
Балка;ТШАГ.745512.044-01-Л;<>;39; ;ХРОМОС Инжиниринг
Балка;ТШАГ.745512.013;<>;20; ;ХРОМОС Инжиниринг
Балка;ТШАГ.745512.044-01;<>;3; ;ХРОМОС Инжиниринг
Балка;ТШАГ.745512.044-Л;<>;9; ;ХРОМОС Инжиниринг
Балка;НГКШ.745532.153;<>;3; ;ХРОМОС Инжиниринг
Балка;ТШАГ.745512.039;<>;7; ;ХРОМОС Инжиниринг
Балка;ТШАГ.745512.045;<>;497; ;ХРОМОС Инжиниринг
Балка;НГКШ.745512.2032-л;<>;4; ;ХРОМОС Инжиниринг
Балка;ТШАГ.745512.037-Л;<>;1; ;ХРОМОС Инжиниринг
Балка;НГКШ.745418.024;<>;28; ;ХРОМОС Инжиниринг
Балка;НГКШ.745418.023;<>;28; ;ХРОМОС Инжиниринг
Балка;НГКШ.745512.2087-Л;<>;2; ;ХРОМОС Инжиниринг
Балка;НГКШ.745512.1908-л;<>;16; ;ХРОМОС Инжиниринг
Балка;ВЭ 647.1-03.000;<>;6; ;Электротехника (МЕХ.ЦЕХ)
Балка;ВЭ 261.1-02.000;<>;7; ;Электротехника (МЕХ.ЦЕХ)
Балка;ВЭ 261.1-03.000;<>;7; ;Электротехника (МЕХ.ЦЕХ)
Балка;ВЭ 647.1-02.000;<>;6; ;Электротехника (МЕХ.ЦЕХ)
Балка;ТШОЗ.745521.012;<>;6; ;Электротехника (МЕХ.ЦЕХ)
Балка;ТШОЗ.745521.012-01;<>;6; ;Электротехника (МЕХ.ЦЕХ)
Балка;ТШОЗ.745522.004;<>;6; ;Электротехника (МЕХ.ЦЕХ)
Балка 600;НГКШ.745512.1819;<>;2; ;ХРОМОС Инжиниринг
Балка 600;НГКШ.745512.1819-Л;<>;93; ;ХРОМОС Инжиниринг
Балка 800;НГКШ.745512.1819-01;<>;38; ;ХРОМОС Инжиниринг
Балка 800;НГКШ.745512.1819-01-Л;<>;95; ;ХРОМОС Инжиниринг
Балка вертикальная;НГКШ.745418.711-Л;<>;8; ;ХРОМОС Инжиниринг
Балка вертикальная;НГКШ.745418.711-01-Л;<>;2; ;ХРОМОС Инжиниринг
Балка изоляторов;НГКШ.745512.1807;<>;6; ;ПМК ООО
Балка изоляторов;НГКШ.745512.2171;<>;2; ;ПМК ООО
Балка клеммника;НГКШ.745512.516-Л;<>;2; ;ХРОМОС Инжиниринг
Балка клеммника;НГКШ.745512.516;<>;1; ;ХРОМОС Инжиниринг
Балка основания;НГКШ.301341.1154;<>;4; ;Крабер ООО
Балка ШН г800;НГКШ.745418.695-01;<>;10; ;Крабер ООО
Блок бесперебойного питания;РИП-12 (исп.05);<>;1; ;НЕКСТ ТД
Блок бесперебойного питания;РИП-12 (исп.05);<>;4; ;ТИНКО ТД
Блок выпрямления контроля и напряжения;БВКН;<>;3; ;ПРОЭЛ НПП ООО
Блок детектирования света и тестирования-1 с ВОД (ОВОД-Л);БДСТ-1 с ВОД;<>;8; ;ПРОЭЛ НПП ООО
Блок детектирования света и тестирования-2 с ВОД (ОВОД-Л);БДСТ-2 с ВОД;<>;3; ;ПРОЭЛ НПП ООО
Блок детектирования света и тестирования-3 с ВОД (ОВОД-Л);БДСТ-3 с ВОД;<>;34; ;ПРОЭЛ НПП ООО
Блок детектирования света и тестирования-4 с ВОД (ОВОД-Л);БДСТ-4 с ВОД;<>;35; ;ПРОЭЛ НПП ООО
Блок дискретных входов;БДВх-2;<>;7; ;ПРОЭЛ НПП ООО
Блок дискретных выходов-2;БДВых-1;<>;2; ;ПРОЭЛ НПП ООО
Блок защиты линии;БЗЛ;<>;2; ;ТИНКО ТД
Блок защиты микропроцессорный релейный 6-35 кВ;БЗП-02;<>;7; ;Микропроцессорные технологии
Блок индикации;SCD(Блок индикации LB-1);<>;50; ;Монтажные системы НОВ.
Блок индикации;SCD(Блок индикации LB-1);ВЕАШ.305621.637;1; ;Возврат с производства
Блок индикации;SCD(Блок индикации LB-1);ВЕАШ.305621.637;550; ;Элтехника ПО АО
Блок комбинированных контактов положения АВ и аварийного отключения;2СО  (арт.7001203);<>;1; ;Толедо СК
Блок конденсаторов;БК-101;<>;15; ;Механотроника НТЦ ООО
Блок конденсаторов;БК-402;<>;3; ;СТРОЙЭНЕРГО ООО
Блок контакт сигнальный (перекидной) арт. 4671141;PS2 125-1600AF;<>;8; ;Снаб-СП
Блок контрольно-пусковой;С-2000 КБП;<>;7; ;ИП Малыгин А.Л.
Блок контрольно-пусковой;С-2000 КБП;<>;1; ;НЕКСТ ТД
Блок контрольно-пусковой;С-2000 КБП;<>;1; ;ТИНКО ТД
Блок микропроцессорный;БМРЗ-103-2-Д-СВ-01/03;<>;1; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-102-2-Д-КЛ-01;<>;25; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-51-2-3-02;<>;15; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-ВВ-53;<>;1; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-101-2-Д-КЛ-01;<>;20; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-103-2-Д-ВВ-01/03;<>;3; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-ВВ-02;<>;7; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-104-2-Д-ТН-01;<>;2; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-М-СВ-52;<>;2; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-М-ВВ-53;<>;7; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-М-КЛ-53;<>;11; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-52-2-3-02;<>;5; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-СВ-52;<>;1; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-ТН-51;<>;1; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-СВ-01;<>;2; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-КСЗ-52;<>;16; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-КЛ-53;<>;3; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-ВВ-01;<>;2; ;Механотроника НТЦ ООО
Блок микропроцессорный;БМРЗ-152-2-Д-КЛ-01;<>;27; ;Механотроника НТЦ ООО
Блок микропроцессорный;БЭМП РУ-ЦС.0.220.Д2;<>;1; ;ЧЭАЗ АО
Блок микропроцессорный;БЭМП РУ-ЭД4.5.220.Д2;<>;6; ;ЧЭАЗ АО
Блок микропроцессорный;БЭМП РУ-БК.5.220.Д;<>;2; ;ЧЭАЗ АО
Блок ОРУ;МДБ35-95.00.00.000;<>;1; ;Крабер ООО
Блок ОРУ;МДБ35-147.00.00.000;<>;1; ;Крабер ООО
Блок ОРУ;МДБ35-51.00.00.000;<>;1; ;Крабер ООО
Блок ОРУ;МБ35-95.00.00.000-01;<>;1; ;Крабер ООО
Блок ОРУ;МБ35-95.00.00.000;<>;1; ;Крабер ООО
Блок ОРУ;МДБ35-95.00.00.000-01;<>;1; ;Крабер ООО
Блок ОРУ;МДБ35-147.00.00.000-01;<>;1; ;Крабер ООО
Блок ОРУ;1582.МДБ35-139.00.00.000;<>;1; ;Крабер ООО
Блок ОРУ;1582.МДБ35-139.00.00.000-01;<>;1; ;Крабер ООО
Блок ОРУ;4055.Б10-77.00.000;<>;2; ;Крабер ООО
Блок ОРУ;ММБ35-147.00.00.000-01;<>;1; ;Крабер ООО
Блок ОРУ;ММБ35-147.00.00.000;<>;1; ;Крабер ООО
Блок ОРУ;ММБ35-51.00.00.000;<>;1; ;Крабер ООО
Блок питания;WAGO 787-1702;<>;1; ;ВАГО Контакт Рус
Блок питания;БП(5А);<>;2; ;ПРОЭЛ НПП ООО
Блок питания;БП(3А);<>;1; ;ПРОЭЛ НПП ООО
Блок питания;Орион-БП-3;<>;34; ;РАДИУС АВТОМАТИКА АО
Блок питания;Орион-БП-4;<>;5; ;РАДИУС АВТОМАТИКА АО
Блок питания;Орион-БП-5;<>;51; ;РАДИУС АВТОМАТИКА АО
Блок питания;БПНТ-3;<>;3; ;СТРОЙЭНЕРГО ООО
Блок питания;HDR-15-24;<>;2; ;ЧИП и ДИП
Блок питания;БПНТ-1;<>;23; ;ЧЭАЗ АО
Блок питания;OptiPower DR-75-24-1;<>;1; ;Электро-Лайн ООО
Блок питания  12В,1.67А,20Вт, на DIN рейку;MDR-20-12;<>;1; ;МИКРО-ЧИП ООО
Блок питания 12В,10А,120Вт на DIN-рейку;EDR-120-12;<>;1; ;МИКРО-ЧИП ООО
Блок питания 24В, 120Вт ABL MODICON оптимальный;ABLS1A24050;<>;1; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
Блок питания LED IEK;LED IEK LSP1-060-12-20-33-PRO 60 Вт;<>;38; ;Толедо СК
Блок питания для датчика осадков;БПДО;<>;1; ;АЛЬФАИНЖИНИРИНГ ООО
Блок питания комбинированный;КБП-301;<>;2; ;Механотроника НТЦ ООО
Блок питания комбинированный;БПК-5-Т;<>;7; ;Механотроника НТЦ ООО
Блок питания МЕАНДР;БПИ-13-12 УХЛ4;<>;8; ;ТД УЭТ
Блок питания от цепей тока;Пион-Т;<>;7; ;Микропроцессорные технологии
Блок преобразователя сигналов TTL-RS485 Д3170;ЭКРА656116.625;<>;9; ;ЭКРА НПП ООО
Блок приемно-контрольный охранно пожарный;С2000-4 вер.3.00;<>;2; ;МАГАЗИН 01
Блок распределительный;РБ-250 1П 250А;<>;10; ;Толедо СК
Блок распределительный;RBP-35-50;<>;3; ;Толедо СК
Блок распределительный;РБ-125 1П 125А;<>;20; ;Толедо СК
Блок реле;ИН 3-10Р-05;<>;49; ;ТЕРМА-ЭНЕРГО ООО
Блок реле;ИН 3-10Р-03;<>;35; ;ТЕРМА-ЭНЕРГО ООО
Блок сигнально-пусковой;С2000-СП1;<>;1; ;ТИНКО ТД
Блок сигнально-пусковой;С2000-СП1;С2000-СП1 исп.01;2; ;МАГАЗИН 01
Блок управления;БУП;<>;3; ;ПРОЭЛ НПП ООО
Блок энергетический;БЭМП РУ-ОЛ.5.220.Д;<>;11; ;ЧЭАЗ АО
Блок энергетический;БЭМП РУ-ВВ.5.220.Д;<>;3; ;ЧЭАЗ АО
Блок энергетический;БЭМП РУ-СВ.5.220.Д;<>;1; ;ЧЭАЗ АО
Блок энергетический;БЭМП РУ-ТН.0.220.Д;<>;2; ;ЧЭАЗ АО
Блок энергетический;БЭМП РУ-ОЛ.5.220.Д;<>;20; ;ЧЭАЗ-КОМПЛЕКТАЦИЯ ООО
Блок энергетический;БЭМП РУ-СВ.5.220.Д;<>;1; ;ЧЭАЗ-КОМПЛЕКТАЦИЯ ООО
Блок энергетический;БЭМП РУ-ВВ.5.220.Д;<>;4; ;ЧЭАЗ-КОМПЛЕКТАЦИЯ ООО
Блок энергетический;БЭМП РУ-ОЛ.5.220.Д;БЭМП РУ-ОЛ.5.220.Д2;3; ;ЧЭАЗ АО
Блок энергетический;БЭМП РУ-ТН.0.220.Д;БЭМП РУ-ТН.0.220.Д2;2; ;ЧЭАЗ-КОМПЛЕКТАЦИЯ ООО
Блокиратор механический для контакторов TVS 6 65;LAEM1;<>;1; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
Блокировка двери;НГКШ.745512.795;<>;89; ;Крабер ООО
Блок-контакт;RH 11;<>;2; ;Снаб-СП
Блок-контакт PS/SS;ETIMAT  P10 (1NC+1NC/NO);<>;1050; ;Снаб-СП
Блок-контакт боковой 1 NO+1NC;BCXMLE11;<>;11; ;Снаб-СП
Блок-контакт фронтальный 1 NO;BCXMFE10;<>;12; ;Снаб-СП
Боковая панель ТК 600;НГКШ.745418.737-01-Л;<>;8; ;ХРОМОС Инжиниринг
Боковая панель ТК 800;НГКШ.745418.737-02-Л;<>;6; ;ХРОМОС Инжиниринг
Боковина;ВНК-01 01.00 СБ;<>;2; ;ЛАЗЕР-НН
Боковина;ОЛК-01 01.00 СБ;<>;8; ;ЛАЗЕР-НН
Боковина;СРК-01 01.00 СБ;<>;3; ;ЛАЗЕР-НН
Боковина;СРК-01 01.00 СБ;<>;17; ;ПМК ООО
Боковина;НГКШ.301341.1082;<>;4; ;ПМК ООО
Боковина;ОЛК-01 01.00 СБ;<>;111; ;ПМК ООО
Боковина;НГКШ.745512.1942;<>;14; ;ХРОМОС Инжиниринг
Боковина;НГКШ.745512.1942-01;<>;14; ;ХРОМОС Инжиниринг
Боковина;НГКШ.745512.2071-01-л;<>;2; ;ХРОМОС Инжиниринг
