№ п/п;Товар;Обозначение;Модификация;Кол-во;На заказы;Поставщик
1;DIN-рейка монтажная с перфорацией MR 35х7,5; ;<>;330; ;Возврат с производства
2;DIN-рейка монтажная с перфорацией MR 35х7,5; ;<>;1320; ;СТРОЙЭНЕРГО ООО
3;Kорпус КМ- ПР-О-2С-104х27;06408330;<>;8; ;Каскад НПО
4;Автомат дифференциальный;АД-14 4Р 40А 30мА;<>;4; ;Толедо СК
5;Автомат дифференциальный;АВДТ-32 2P C25/30;<>;5; ;Толедо СК
6;Автоматический ввод резерва;МАВР-3-21М;<>;3; ;Меандр ТД
7;Адаптер для кнопок;LPX DIN;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
8;Адаптер для установки кнопки на DIN - рейку;А11708351;<>;2; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
9;Аккумулятор 12В 18 А/ч; ;<>;3; ;ИП Малыгин А.Л.
10;Аккумулятор 12В 18 А/ч; ;<>;1; ;НЕКСТ ТД
11;Аккумулятор 12В 18 А/ч; ;17А/ч;5; ;ТИНКО ТД
12;Амперметр;РА194I-5Х1Т-00001-100/5-K-1-0.5;<>;4; ;КС-Трейдинг
13;Амперметр;PA194I-9K4T-00001-400А/5А-K-0,5;<>;1; ;КС-Трейдинг
14;Амперметр;PA194I-9K4T-00001-30А/5А-K-0,5;<>;2; ;КС-Трейдинг
15;Амперметр;PA194I-9K4T-00001-150А/5А-K-0,5;<>;1; ;КС-Трейдинг
16;Амперметр;PA194I-9K4T-00001-600/5-K-0,5;<>;5; ;КС-Трейдинг
17;Амперметр;PA194I-9K4T-00001-100А/5А-K-0,5;<>;5; ;КС-Трейдинг
18;Амперметр;Э42704 А 75/5 50 1,5 В;<>;26; ;ЭЛЕКТРОПРИБОР ОАО
19;Амперметр;Э42704 А 30/5 50 1,5 В;<>;2; ;ЭЛЕКТРОПРИБОР ОАО
20;Амперметр;Э42704 А 20/5 50 1,5 В;<>;4; ;ЭЛЕКТРОПРИБОР ОАО
21;Амперметр;Э42704 А 40/5 50 1,5 В;<>;8; ;ЭЛЕКТРОПРИБОР ОАО
22;Амперметр;Э42704 А 300/5 50 1,5 В;<>;70; ;ЭЛЕКТРОПРИБОР ОАО
